Время начала - чч:мм:сс.мс	Время окончания - чч:мм:сс.мс	Длительность - чч:мм:сс.мс	интервьюер	информант
00:11:40.137	00:11:43.039	00:00:02.902		се= м(0.5) серебристого такого, 
00:11:43.039	00:11:43.333	00:00:00.294		да.
00:11:43.333	00:11:45.412	00:00:02.079		Такого …(0.5) стального цвета, 
00:11:45.412	00:11:45.745	00:00:00.333		да.
00:11:45.745	00:11:49.686	00:00:03.941		И при необходимости там чёто || что-то открывалось, 
00:11:49.686	00:11:50.490	00:00:00.804		закрывалось,
00:11:50.490	00:11:51.667	00:00:01.177		кто-то приходил.
00:11:51.667	00:11:53.137	00:00:01.470		Ну был один человек, который |S|
00:11:53.137	00:11:58.882	00:00:05.745		Вот и он появился …(0.3) а(0.6) как бы н-неоткуда,
00:11:58.882	00:12:00.549	00:00:01.667		 неоткуда для меня.
00:12:00.549	00:12:01.216	00:00:00.667		А потом,
00:12:01.216	00:12:02.569	00:00:01.353		когда мы прилетели |ES|
00:12:02.569	00:12:04.039	00:00:01.470		И там был большой иллюминатор.
00:12:04.039	00:12:05.627	00:00:01.588		И когда мы …(0.3) поднимались, 
00:12:05.627	00:12:07.902	00:00:02.275		в этом смысле от планеты,
00:12:07.902	00:12:10.686	00:00:02.784		и очень быстро удалялись от планеты Земля.
00:12:10.686	00:12:13.235	00:00:02.549		Бву-у туда тудудуду.
00:12:13.235	00:12:13.667	00:00:00.432		вот.
00:12:13.667	00:12:14.608	00:00:00.941		И я подумал |ES|
00:12:14.608	00:12:16.882	00:00:02.274		Причём я не испытывал таких перегрузок, 
00:12:16.882	00:12:18.059	00:00:01.177		когда мне было,
00:12:18.059	00:12:19.020	00:00:00.961		а это как-то было,
00:12:19.020	00:12:20.098	00:00:01.078		я не знаю даже,
00:12:20.098	00:12:21.294	00:00:01.196		я не знаю даже как это объяснить.
